transaction_id,account_id,merchant_name,merchant_id,timestamp,transaction_description,category,amount,currency,predicted_category,confidence,correct
MARC00000,ACC0000001,Landlord,MRC_RNT_001,2020-01-01 04:11:00,TRANSFERENCIA ALQUILER REF309794,Financial Services,2000.0,EUR,Financial Services,0.9999,True
MARC00001,ACC0000001,CaixaBank ATM,MRC_ATM_001,2020-01-01 09:32:00,RETIRADA EFECTIVO CAJERO 9JUP,Financial Services,50.0,EUR,Financial Services,0.8537,True
MARC00002,ACC0000001,Local restaurant,MRC_RST_006,2020-01-01 17:43:00,CAFETERIA MOET BCN,Food & Dining,18.0,EUR,Food & Dining,1.0,True
MARC00003,ACC0000001,SABA Parking,MRC_PRK_001,2020-01-02 20:10:00,SABA PARKING EEET BCN,Transportation,17.64,EUR,Transportation,1.0,True
MARC00004,ACC0000001,Orange Internet,MRC_UTL_002,2020-01-03 02:08:00,ORANGE ES 9TQ6V9,Utilities & Services,29.99,EUR,Utilities & Services,0.9999,True
MARC00005,ACC0000001,Bar del Pla,MRC_RST_003,2020-01-03 13:56:00,BAR DEL PLA BCNA,Food & Dining,41.98,EUR,Food & Dining,0.9923,True
MARC00006,ACC0000001,Lidl,MRC_GRC_002,2020-01-04 08:10:00,LIDL ES 1607,Food & Dining,46.91,EUR,Food & Dining,1.0,True
MARC00007,ACC0000001,Mercadona,MRC_GRC_001,2020-01-04 19:11:00,MERCADONA 05220,Food & Dining,34.98,EUR,Food & Dining,1.0,True
MARC00008,ACC0000001,BSM Parking,MRC_PRK_002,2020-01-04 23:10:00,BSM PARKING BCN PZP2,Transportation,7.69,EUR,Transportation,0.9999,True
MARC00009,ACC0000001,Movistar,MRC_UTL_001,2020-01-05 01:23:00,MOVISTAR ES T1QOJA,Utilities & Services,35.99,EUR,Utilities & Services,1.0,True
MARC00010,ACC0000001,Netflix,MRC_SUB_001,2020-01-05 06:23:00,NETFLIX.COM,Entertainment & Recreation,17.99,EUR,Entertainment & Recreation,1.0,True
MARC00011,ACC0000001,Fnac,MRC_GFT_004,2020-01-06 21:03:00,FNAC ES 4732,Shopping & Retail,39.67,EUR,Shopping & Retail,0.9999,True
MARC00012,ACC0000001,Bar del Pla,MRC_RST_003,2020-01-07 19:00:00,BAR DEL PLA BCNA,Food & Dining,53.06,EUR,Food & Dining,0.9923,True
MARC00013,ACC0000001,Spotify,MRC_SUB_002,2020-01-08 06:24:00,SPOTIFY ES IED0TZ,Entertainment & Recreation,9.99,EUR,Entertainment & Recreation,1.0,True
